Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
13,4,3,0.5,0.01,1,10,1,8,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,81,85,0,2,2,0,0,0,5.83295916548892E-05,2.91647958274446E-05,1.99668669768546E-05,0.167395029012327,0.8,12.81,0,73.44,90.48,0
14,4,3,0.5,0.01,1,10,1,5,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,28,33,0,0,0,0,0,0,6.02858070868909E-05,3.01429035434454E-05,1.80626459741656E-05,0.171309009330539,1,14.58,0,85.36,85.74,1
10,4,3,0.5,0.01,1,10,1,5,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,238,240,0,6,6,0,0,0,5.09553099042441E-05,2.5477654952122E-05,1.5356996436075E-05,0.170685695367909,0.4,7.12,0,103.87,90.99,0
11,4,3,0.5,0.01,1,10,1,1,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,3,8,0,0,0,0,0,0,4.73447425866357E-05,2.36723712933178E-05,1.47619251610792E-05,0.167112006161015,1,14.5,0,67.03,88.44,1
9,4,3,0.5,0.01,1,10,1,6,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,166,248,80,6,6,0,80,80,5.55221329653164E-05,2.77610664826582E-05,1.84890752638957E-05,0.16424797962847,0.6,10.78,0,135.03,84.87,0
14,4,3,0.5,0.01,1,10,1,8,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,83,86,0,4,4,0,0,0,6.16247140463208E-05,3.08123570231604E-05,1.90482672914193E-05,0.169769443318878,0.8,13.07,0,121.75,85.34,0
6,4,3,0.5,0.01,1,10,1,5,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,84,85,0,8,8,0,0,0,5.88896421912068E-05,2.94448210956034E-05,1.84168798774461E-05,0.174493055856597,0.4,6.77,0,154.4,87.83,0
5,4,3,0.5,0.01,1,10,1,6,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,239,241,0,6,6,0,0,0,6.1060659123044E-05,3.0530329561522E-05,1.85349216715824E-05,0.174659689741041,0.4,7.26,0,104.38,90.99,0
15,4,3,0.5,0.01,1,10,1,3,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,238,240,0,6,6,0,0,0,6.83983961543901E-05,3.41991980771951E-05,2.22647816323978E-05,0.166782343041646,0.4,7.25,0,110.43,89.82,0
9,4,3,0.5,0.01,1,10,1,1,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,80,84,0,2,2,0,0,0,2.76536493745973E-05,1.38268246872986E-05,8.50817132013961E-06,0.165875557422677,0.8,12.31,0,71.74,90.48,0
5,4,3,0.5,0.01,1,10,1,2,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,79,83,0,2,2,0,0,0,5.39720635102485E-05,2.69860317551243E-05,1.63187711735358E-05,0.173461643787492,0.8,12.27,0,92.27,86.66,0
5,4,3,0.5,0.01,1,10,1,2,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,83,87,0,2,2,0,0,0,5.4734988095577E-05,2.73674940477885E-05,1.65675863787709E-05,0.167167205348596,0.8,12.07,0,87.03,87.83,0
11,4,3,0.5,0.01,1,10,1,2,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,317,318,0,8,8,0,0,0,6.15477246773393E-05,3.07738623386696E-05,1.83540209374414E-05,0.165182439740513,0.2,4.46,0,105.04,93.97,0
9,4,3,0.5,0.01,1,10,1,9,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,243,245,0,6,6,0,0,0,5.5106995749803E-05,2.75534978749015E-05,1.69726055145645E-05,0.172706685730558,0.4,7.29,0,108.7,90.21,0
