Path,ACE,Ql,Qu
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'recovery_executed', 'DWA_new_plan', 'DWA_failed', 'xy_goal_tolerance']",5.32597342687788,1.860076178700436,17.35190902746325
"['Battery_percentage', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'xy_goal_tolerance']",5.32597342687788,14.170215890640705,4.128457142174545
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'DWA_failed', 'xy_goal_tolerance']",5.32597342687788,1.4882409611692649,28.664870971774345
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'DWA_failed', 'xy_goal_tolerance']",5.32597342687788,0.13660271852293415,25.46508407492745
"['Battery_percentage', 'DWA_failed', 'xy_goal_tolerance']",5.32597342687788,23.404114274671663,18.011389880123392
"['Battery_percentage', 'Error_rotating_goal', 'DWA_new_plan', 'DWA_failed', 'xy_goal_tolerance']",5.32597342687788,11.787049538254594,19.433328546535762
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'DWA_failed', 'xy_goal_tolerance']",5.32597342687788,2.1791991148642693,26.123490081327613
"['Battery_percentage', 'Error_rotating_goal', 'DWA_new_plan', 'xy_goal_tolerance']",5.32597342687788,6.29623717789791,19.67805476451452
"['Mission_success', 'Mission_time', 'recovery_executed', 'DWA_new_plan', 'min_vel_x']",4.3549435731874375,4.187700764735257,2.9270291580260146
"['Mission_success', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'min_vel_x']",4.3549435731874375,6.81016209700857,3.8295909825437215
"['Mission_success', 'Mission_time', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'min_vel_x']",4.3549435731874375,7.08194431341916,2.7520526940036376
"['Mission_success', 'min_vel_x']",4.3549435731874375,5.813384812255832,3.610986192692219
"['Mission_success', 'RNS', 'recovery_executed', 'DWA_new_plan', 'min_vel_x']",4.3549435731874375,6.353415419168973,3.70408420078666
"['Mission_success', 'recovery_executed', 'DWA_new_plan', 'min_vel_x']",4.3549435731874375,4.787161225679282,3.142725734848038
"['Mission_success', 'Error_rotating_goal', 'DWA_new_plan', 'min_vel_x']",4.3549435731874375,6.314404610488559,2.4726110441391715
"['Mission_success', 'Mission_time', 'Traveled_distance', 'RNS', 'recovery_executed', 'DWA_new_plan', 'min_vel_x']",4.3549435731874375,5.331876079047518,2.5089025575227453
"['Mission_success', 'DWA_new_plan', 'min_vel_x']",4.3549435731874375,7.358698653620495,1.2324632394735129
