Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
9,4,2,1.23,1,8,10,6,3,0,0.66,0.74,0.91,0.05,0.3,0.22,0.23,-0.12,161,164,4,0,0.6,14.57,113.25,83.51,0
1,6,4,1.27,1,9,5,7,1,0,1.91,0.89,1.08,0.03,0.28,0.3,0.11,-0.19,4,167,4,160,1,22.85,155.73,74.37,0
20,5,2,1.37,1,11,1,7,3,0,1.92,0.12,0.84,0.05,0.14,0.17,0.35,-0.18,11,15,2,0,0.8,16.34,104.06,85.18,0
17,6,1,1.82,0,9,3,6,4,0,1.55,0.62,1.09,0.01,0.26,0.12,0.19,-0.19,80,84,2,0,0.8,12.34,63.81,90.99,0
14,7,2,0.93,0,1,6,6,3,1,1.23,0.35,1.04,0.02,0.24,0.13,0.24,-0.01,2,86,2,80,1,14.41,67.28,90.47,0
11,5,3,0.6,0,13,4,6,3,0,0.25,0.1,1.11,0.04,0.24,0.12,0.21,-0.16,0,5,0,0,1,16.34,72.52,85.68,1
17,6,3,0.29,1,1,8,4,1,0,0.94,0.43,1.45,0.02,0.29,0.2,0.29,-0.26,82,86,2,0,0.8,12.42,64.93,90.99,0
13,4,1,1.75,1,13,4,6,3,1,0.54,0.11,0.67,0.02,0.25,0.16,0.28,-0.07,0,5,0,0,1,14.34,46.51,91.32,1
10,4,3,1.94,0,16,7,4,4,1,1.68,0.8,0.87,0.02,0.18,0.14,0.33,-0.11,97,101,2,0,0.8,17.27,121.56,78.69,0
1,5,4,0.39,1,17,1,6,2,0,1.39,0.77,0.59,0.03,0.19,0.19,0.34,-0.16,0,5,0,0,1,16.54,69.42,86.51,1
12,7,2,1.92,1,3,5,5,1,1,1.5,0.3,0.58,0.02,0.13,0.23,0.3,-0.17,85,89,2,0,0.8,13.51,95.71,83.98,0
6,6,1,1.75,0,3,9,6,3,1,0.59,0.32,0.89,0.01,0.17,0.22,0.17,-0.07,83,87,2,0,0.8,12.36,66.24,90.48,0
20,4,2,1.49,1,9,7,6,3,0,0.6,0.66,0.5,0.03,0.14,0.16,0.34,-0.23,80,84,2,0,0.8,17.06,107.47,81.52,0
8,4,1,1.97,0,13,7,4,3,0,1.84,0.38,0.76,0.02,0.11,0.2,0.3,-0.02,79,83,2,0,0.8,12.27,65.2,90.99,0
4,7,4,1.26,1,9,10,4,4,1,0.61,0.57,1.36,0.04,0.12,0.23,0.22,-0.15,3,6,4,0,0.6,34.6,273.41,51.67,0
2,4,4,1.83,0,4,4,4,1,1,0.53,0.72,1.02,0.05,0.13,0.18,0.32,-0.05,2,5,4,0,0.8,16.92,215.2,64.57,0
1,5,4,0.76,0,13,6,5,4,1,0.36,0.98,1.13,0.02,0.16,0.2,0.21,-0.09,86,89,4,0,0.8,11.9,101.77,88.49,0
12,5,4,0.58,1,13,2,6,4,0,0.98,0.62,1.14,0.04,0.27,0.27,0.29,-0.06,162,165,4,0,0.6,10.47,80.87,90.99,0
9,5,4,1.33,0,9,4,7,2,0,1.16,0.36,0.8,0.04,0.23,0.12,0.36,-0.16,14,17,4,0,0.8,18.33,132.74,81.98,0
8,4,2,1.34,1,1,7,6,2,0,1.31,0.93,0.65,0.04,0.24,0.13,0.25,-0.14,22,22,10,0,0,131.99,1266.4,8.95,0
2,4,1,0.47,1,20,5,7,4,1,1.08,0.11,0.93,0.02,0.26,0.14,0.28,-0.24,2,165,4,160,1,14.97,96.27,87.42,0
4,6,4,0.22,0,16,7,4,3,0,1.73,0.45,1.45,0.05,0.13,0.22,0.19,-0.08,88,121,4,30,0.8,12.62,114.87,83.84,0
17,4,1,0.61,0,5,6,6,3,0,0.69,0.56,1.03,0.02,0.21,0.15,0.25,-0.03,80,84,2,0,0.8,12.34,58.58,92.31,0
5,6,1,1.13,0,13,8,4,2,0,0.96,0.75,0.63,0.01,0.16,0.21,0.16,-0.14,0,5,0,0,1,15.04,54.11,89.95,1
4,5,3,1.55,0,7,2,7,1,1,0.71,0.69,1.11,0.05,0.15,0.13,0.31,-0.14,94,98,2,0,0.8,25.89,175.41,66.73,0
12,7,3,0.65,0,18,2,5,4,0,1.9,0.33,1.32,0.05,0.22,0.11,0.38,-0.25,0,5,0,0,1,15.87,61.06,88.37,1
12,6,1,0.71,1,4,4,7,2,1,1.29,0.7,0.67,0.01,0.23,0.11,0.4,-0.11,165,168,4,0,0.6,10.4,72.98,92.97,0
18,7,1,1,0,10,10,6,1,1,1.77,0.98,1,0.04,0.23,0.13,0.31,-0.12,8,10,8,0,0.4,21.04,539.95,8.73,0
17,4,4,0.86,0,11,5,4,4,1,1.89,0.45,1.39,0.03,0.16,0.15,0.23,-0.21,27,111,2,80,1,17.79,103.77,83.54,0
5,6,1,1.32,1,17,3,7,2,0,0.55,0.29,1.41,0.04,0.23,0.23,0.19,-0.02,160,243,6,81,0.6,10.52,120.06,85.67,0
16,5,4,1.42,1,8,9,6,3,0,1.3,0.17,1.24,0.04,0.22,0.2,0.35,-0.14,5,167,7,160,0.8,16.65,149.35,82.84,0
16,4,4,1.48,0,7,5,5,4,0,1.19,0.69,1.31,0.02,0.1,0.15,0.22,-0.19,0,5,0,0,1,14.37,48.36,90.96,1
2,5,3,1.69,0,2,4,7,3,1,1.72,0.91,1.44,0.05,0.29,0.26,0.31,-0.04,7,8,11,0,0.2,23.48,2249.65,8.79,0
14,4,2,1.53,0,3,2,6,2,1,1.55,0.76,0.99,0.04,0.14,0.14,0.3,-0.28,0,5,0,0,1,14.85,95.27,80.64,1
10,5,3,1.46,0,18,1,7,1,0,0.81,0.97,1.18,0.04,0.24,0.13,0.28,-0.13,84,88,2,0,0.8,19.46,137.99,74.7,0
11,5,4,1.96,1,10,8,7,4,0,0.29,0.22,1.29,0.04,0.16,0.21,0.29,-0.14,1,6,0,0,1,21.16,104.72,78.55,1
8,6,1,1.02,0,1,6,7,3,1,0.51,0.52,1.23,0.02,0.13,0.11,0.2,0,81,164,4,80,0.8,12.33,78.1,91.93,0
19,4,4,1.32,1,2,7,6,3,0,1.7,0.55,1.15,0.02,0.27,0.26,0.4,-0.2,82,86,2,0,0.8,13.11,68.95,89.98,0
17,6,3,0.37,1,9,10,5,1,0,0.3,0.94,0.59,0.03,0.11,0.24,0.25,-0.26,1,6,0,0,1,18.24,106.95,78,1
10,7,1,0.51,1,5,4,4,4,1,0.78,0.38,1.27,0.02,0.2,0.29,0.39,-0.01,82,86,2,0,0.8,12.87,56.6,92.97,0
8,4,4,1.21,0,9,8,5,2,1,1.92,0.27,1.39,0.04,0.14,0.19,0.17,-0.24,7,91,2,80,1,17.48,114.23,80.21,0
20,7,1,0.64,1,2,9,5,3,0,1.02,0.96,0.94,0.02,0.14,0.21,0.15,-0.1,2,7,0,0,1,16.06,73.77,85.48,1
19,5,2,1.29,0,19,3,5,2,0,0.2,0.97,1.14,0.04,0.28,0.24,0.36,-0.23,0,5,0,0,1,14.58,53.58,89.89,1
9,6,4,0.54,0,2,8,4,3,0,1.86,0.95,1.21,0.02,0.13,0.24,0.37,-0.06,0,5,0,0,1,14.23,42.53,92.46,1
17,7,3,1.91,0,14,3,5,1,1,1.43,0.8,1.07,0.04,0.29,0.14,0.39,-0.28,0,5,0,0,1,14.52,56,89.42,1
