Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
11,7,2,0.82,0.04,0,14,3,6,4,0,1.13,0.03,0.16,1.15,0.01,0.19,0.15,0.25,-0.11,0,5,0,0,0,0,0,0,6.02E-05,3.01E-05,1.91E-05,0.22,1,14.53,0,46.01,87,1
11,4,1,1.33,0.03,0,15,1,5,2,1,1.94,0.03,0.36,1.14,0.01,0.23,0.22,0.33,-0.18,0,5,0,0,0,0,0,0,5.69E-05,2.84E-05,1.69E-05,0.31,1,14.28,0,44.37,87.75,1
11,7,4,0.92,0.01,1,20,6,4,2,1,1.25,0.04,0.84,1.13,0.04,0.24,0.21,0.14,-0.23,82,86,0,2,2,0,0,0,3.38E-05,1.69E-05,1.17E-05,0.13,0.8,12.65,0,70.58,84.79,0
9,5,2,1.62,0.03,0,12,7,5,4,1,0.78,0.05,0.29,0.79,0.03,0.25,0.28,0.31,-0.16,79,83,0,2,2,0,0,0,4.93E-05,2.46E-05,1.48E-05,0.29,0.8,14.27,0,84.01,79.34,0
11,6,2,0.21,0.02,0,9,5,5,1,0,1.62,0.04,0.87,0.7,0.02,0.25,0.15,0.25,-0.27,89,93,0,2,2,0,0,0,3.22E-05,1.61E-05,9.71E-06,0.23,0.8,16.9,0,113.18,69.88,0
6,6,2,0.91,0.01,1,16,8,6,4,1,1.42,0.03,0.42,0.82,0.04,0.13,0.29,0.17,-0.05,89,93,0,2,2,0,0,0,5.48E-05,2.74E-05,1.71E-05,0.13,0.8,12.57,0,72.21,84.08,0
19,6,1,1.06,0.05,1,17,7,6,1,1,1.27,0.03,0.67,1.2,0.05,0.11,0.18,0.34,-0.2,162,243,79,6,6,0,79,79,3.28E-05,1.64E-05,9.84E-06,0.31,0.6,23.5,0,197.99,51.73,0
14,5,2,0.87,0.03,0,19,9,7,4,1,0.87,0.01,0.33,1.13,0.04,0.3,0.21,0.14,-0.06,82,167,82,4,4,0,82,82,4.03E-05,2.01E-05,1.2E-05,0.13,0.8,12.17,0,85.3,84.87,0
18,5,3,1.17,0.05,0,4,5,7,1,1,0.94,0.02,0.72,0.52,0.04,0.15,0.13,0.18,-0.08,82,167,82,4,4,0,82,82,2.21E-06,1.11E-06,8.89E-07,2.54,0.4,24.09,0,423.73,84.87,0
6,5,1,1.24,0.02,1,2,2,7,3,0,0.83,0.03,0.34,0.76,0.03,0.11,0.13,0.16,-0.25,80,84,0,2,2,0,0,0,1.12E-05,5.58E-06,4.26E-06,0.13,0.8,12.51,0,84.6,79.34,0
