Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
10,4,3,3.09,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,159,162,0,4,4,0,0,0,6.20459750941751E-05,3.10229875470876E-05,1.84108434701708E-05,0.16491120365836,0.6,9.72,0,85.21,91.65,0
10,4,3,2.39,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,1,6,0,0,0,0,0,0,6.22896145184678E-05,3.11448072592339E-05,1.91005349456414E-05,0.16842277041479,1,14.7,0,92.76,82.95,1
10,4,3,0.2,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,0,83,80,4,4,0,80,80,6.35132610372364E-05,3.17566305186182E-05,2.02705753399878E-05,0.168191382480831,0.8,14.5,0,158.18,77.57,0
10,4,3,0.91,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,161,164,0,4,4,0,0,0,4.70318814126664E-05,2.35159407063332E-05,1.39844180345997E-05,0.175236900734443,0.6,9.76,0,85.3,91.65,0
10,4,3,2.72,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,319,321,1,8,8,0,1,1,5.6309460935501E-05,2.81547304677505E-05,1.67069004491842E-05,0.171026063530581,0.4,9.19,0,186.9,77.86,0
10,4,3,0.43,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,318,319,0,8,8,0,0,0,2.66445612472697E-05,1.33222806236348E-05,8.32057633764959E-06,0.16970416245069,0.4,7.85,0,126.67,89.16,0
10,4,3,0.14,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,316,317,0,8,8,0,0,0,3.51534196956747E-05,1.75767098478374E-05,1.11754904265215E-05,0.166551324734401,0.2,4.91,0,117.16,91.65,0
10,4,3,4.22,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,319,320,0,8,8,0,0,0,5.67371005151908E-05,2.83685502575954E-05,1.74034138569194E-05,0.169940506908923,0.4,6.75,0,117.01,91.65,0
10,4,3,0.48,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,82,86,0,2,2,0,0,0,6.51680560961594E-05,3.25840280480797E-05,1.95659724860086E-05,0.164400791800755,0.8,12.09,0,71.16,90.99,0
10,4,3,3.05,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,238,239,0,8,8,0,0,0,4.43760340006658E-05,2.21880170003329E-05,1.34626278219548E-05,0.169797643995866,0.4,7.41,0,148.07,86.66,0
10,4,3,0.63,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,240,242,0,6,6,0,0,0,2.50215878816891E-05,1.25107939408446E-05,7.80584801942763E-06,0.168007530451269,0.4,8.16,0,101.92,91.65,0
10,4,3,1.89,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,4,88,80,2,2,0,80,80,7.12995785329008E-05,3.56497892664504E-05,2.16889165637922E-05,0.169051713403109,1,14.84,0,92.24,86.55,0
10,4,3,2.97,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,83,86,0,4,4,0,0,0,6.38947663649755E-05,3.19473831824878E-05,2.09447581840305E-05,0.167495461938302,0.6,10.88,0,95.96,90.48,0
10,4,3,2.01,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,81,164,80,4,4,0,80,80,5.10328681091603E-05,2.55164340545801E-05,1.74915924532342E-05,0.168669186813205,0.8,12.17,0,92.19,89.82,0
10,4,3,2.26,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,3,8,0,0,0,0,0,0,5.11833938616101E-05,2.5591696930805E-05,1.61493217728097E-05,0.170869740224409,1,14.49,0,59.9,89.67,1
10,4,3,3.72,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,0,5,0,0,0,0,0,0,4.30382872805114E-05,2.15191436402557E-05,1.28882947899538E-05,0.167619436534104,1,14.48,0,63.47,88.98,1
10,4,3,1.6,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,89,253,163,8,8,0,163,163,5.0282507936745E-05,2.51412539683725E-05,1.57385497259687E-05,0.170959287919327,0.6,20.35,0,239.12,68.39,0
