Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.7,0.2,0,80,83,0,4,4,0,0,0,5.11807015096055E-05,2.55903507548027E-05,1.57119775487474E-05,0.169842719507086,0.6,9.5,0,91.24,89.98,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.55,0.2,0,2,7,0,1,1,0,0,0,6.31158743007731E-05,3.15579371503865E-05,2.18661754862651E-05,0.166174629329001,1,14.82,0,100.96,81.51,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.97,0.2,0,0,5,0,0,0,0,0,0,3.47106120699649E-05,1.73553060349824E-05,1.14854208035285E-05,0.172621455073478,1,14.55,0,57.97,88.89,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.68,0.2,0,94,98,0,2,2,0,0,0,6.11587139212536E-05,3.05793569606268E-05,1.895945389025E-05,0.166583573919381,0.8,12.38,0,87.63,86.66,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.35,0.2,0,237,239,0,6,6,0,0,0,5.35613997553123E-05,2.67806998776562E-05,1.65580448571806E-05,0.168906608625004,0.4,6.91,0,94.64,90.99,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.87,0.2,0,79,83,0,2,2,0,0,0,5.98841892527546E-05,2.99420946263773E-05,1.83361762175849E-05,0.16398739718878,0.8,12.12,0,65.22,90.99,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.57,0.2,0,1,6,0,0,0,0,0,0,5.89820038142976E-05,2.94910019071488E-05,1.7515833066363E-05,0.168273736364777,1,14.52,0,64.15,87.52,1
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.9,0.2,0,237,238,0,8,8,0,0,0,7.14951073751814E-05,3.57475536875907E-05,2.14424383267223E-05,0.167317543751618,0.4,6.78,0,114.13,91.98,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.99,0.2,0,5,10,0,0,0,0,0,0,7.77733968713778E-05,3.88866984356889E-05,2.4845896365047E-05,0.169196813888653,1,14.71,0,76.86,84.92,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.85,0.2,0,0,5,0,0,0,0,0,0,4.58202444853719E-05,2.29101222426859E-05,1.63428501265579E-05,0.166892563340353,1,14.82,0,55.5,89.5,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.92,0.2,0,0,5,0,0,0,0,0,0,5.54466182051276E-05,2.77233091025638E-05,1.64545604005891E-05,0.169095661984356,1,14.48,0,61.34,88,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.67,0.2,0,84,88,0,2,2,0,0,0,5.26090073551001E-05,2.63045036775501E-05,1.5735614322836E-05,0.164924430526567,0.8,12.37,0,74.57,88.83,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.26,0.2,0,0,5,0,0,0,0,0,0,7.77092831709724E-05,3.88546415854862E-05,2.31280049914257E-05,0.168950788149498,1,14.57,0,68.69,86.6,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.78,0.2,0,165,166,0,8,8,0,0,0,4.46857296784786E-05,2.23428648392393E-05,1.3253869417442E-05,0.170831037551043,0.4,6.66,0,129,90.48,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.31,0.2,0,3,8,0,0,0,0,0,0,4.25188286285963E-05,2.12594143142981E-05,1.56983003254165E-05,0.174473583480899,1,14.99,0,71.18,85.97,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.47,0.2,0,237,239,0,6,6,0,0,0,5.68357880016507E-05,2.84178940008253E-05,1.84211576704103E-05,0.16885321541164,0.4,7.39,0,93.1,91.65,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.96,0.2,0,0,5,0,0,0,0,0,0,5.4751512748415E-05,2.73757563742075E-05,1.77307946458113E-05,0.164134649549911,1,14.48,0,65.91,87.28,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.8,0.2,0,0,5,0,0,0,0,0,0,5.59570861735374E-05,2.79785430867687E-05,1.86993146964858E-05,0.169775093687167,1,14.43,0,49.43,90.88,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.37,0.2,0,86,88,0,6,7,0,0,0,5.93694983830128E-05,2.96847491915064E-05,1.85105520122429E-05,0.174285551670319,0.6,9.45,0,131.66,87.83,0
